JobID           JobName     MaxRSS     ReqMem        NodeList 
------------ ---------- ---------- ---------- --------------- 
3359847      mem200_03+                31968G nid[001000,001+ 
3359847.bat+      batch                             nid001000 
3359847.ext+     extern                       nid[001000,001+ 
3359847.1944 alya_3D_l+    501844K            nid[001253-001+ 
3359847.1945 alya_3D_l+    500204K            nid[001000,001+ 
3359847.1946 alya_3D_l+    500156K            nid[001921-001+ 
3359847.1947 alya_3D_l+    500132K            nid[001122,001+ 
3359847.1948 alya_3D_l+    500328K            nid[001149,001+ 
3359847.1949 alya_3D_l+    514480K            nid[001122,001+ 
3359847.1950 alya_3D_l+    500200K            nid[001253-001+ 
3359847.1951 alya_3D_l+    500068K            nid[001000,001+ 
3359847.1952 alya_3D_l+    500584K            nid[001420-001+ 
3359847.1953 alya_3D_l+    500656K            nid[001431,001+ 
3359847.1954 alya_3D_l+    500056K            nid[001420-001+ 
3359847.1955 alya_3D_l+    516404K            nid[001122,001+ 
3359847.1956 alya_3D_l+    500140K            nid[001122,001+ 
3359847.1957 alya_3D_l+    500020K            nid[001000,001+ 
3359847.1958 alya_3D_l+    515340K            nid[001431,001+ 
3359847.1959 alya_3D_l+    517380K            nid[001420-001+ 
3359847.1960 alya_3D_l+    500412K            nid[001921-001+ 
3359847.1961 alya_3D_l+    500632K            nid[001000,001+ 
3359847.1962 alya_3D_l+    500196K            nid[001122,001+ 
3359847.1963 alya_3D_l+    500268K            nid[001253-001+ 
3359847.1964 alya_3D_l+    516032K            nid[002630-002+ 
3359847.1965 alya_3D_l+    500216K            nid[001000,001+ 
3359847.1966 alya_3D_l+    500320K            nid[001030-001+ 
3359847.1967 alya_3D_l+    500396K            nid[001000,001+ 
3359847.1968 alya_3D_l+    500268K            nid[001122,001+ 
3359847.1969 alya_3D_l+    500344K            nid[001253-001+ 
3359847.1970 alya_3D_l+    500084K            nid[001122,001+ 
3359847.1971 alya_3D_l+    519076K            nid[001149,001+ 
3359847.1972 alya_3D_l+    500436K            nid[001194,001+ 
3359847.1973 alya_3D_l+    500104K            nid[001000,001+ 
3359847.1974 alya_3D_l+    516296K            nid[001000,001+ 
3359847.1975 alya_3D_l+    500184K            nid[001253-001+ 
3359847.1976 alya_3D_l+    515984K            nid[001420-001+ 
3359847.1977 alya_3D_l+    500044K            nid[001030-001+ 
3359847.1978 alya_3D_l+    500076K            nid[001064,001+ 
3359847.1979 alya_3D_l+    499960K            nid[001000,001+ 
3359847.1980 alya_3D_l+    515936K            nid[001122,001+ 
3359847.1981 alya_3D_l+    500000K            nid[001253-001+ 
3359847.1982 alya_3D_l+    500184K            nid[001420-001+ 
3359847.1983 alya_3D_l+    500512K            nid[001420-001+ 
3359847.1984 alya_3D_l+    500188K            nid[001149,001+ 
3359847.1985 alya_3D_l+    502448K            nid[001000,001+ 
3359847.1986 alya_3D_l+    499920K            nid[001000,001+ 
3359847.1987 alya_3D_l+    516196K            nid[001253-001+ 
3359847.1988 alya_3D_l+    500120K            nid[001921-001+ 
3359847.1989 alya_3D_l+    500084K            nid[001122,001+ 
3359847.1990 alya_3D_l+    516348K            nid[001000,001+ 
3359847.1991 alya_3D_l+    499892K            nid[001030-001+ 
3359847.1992 alya_3D_l+    500492K            nid[001064,001+ 
3359847.1993 alya_3D_l+    500104K            nid[001000,001+ 
3359847.1994 alya_3D_l+    499928K            nid[001921-001+ 
3359847.1995 alya_3D_l+    500992K            nid[001253-001+ 
3359847.1996 alya_3D_l+    500620K            nid[001030-001+ 
3359847.1997 alya_3D_l+    516428K            nid[001000,001+ 
3359847.1998 alya_3D_l+    500064K            nid[001064,001+ 
3359847.1999 alya_3D_l+    500148K            nid[001000,001+ 
3359847.2000 alya_3D_l+    500152K            nid[001420-001+ 
3359847.2001 alya_3D_l+    488.50M            nid[001122,001+ 
3359847.2002 alya_3D_l+    501860K            nid[001122,001+ 
3359847.2003 alya_3D_l+    500348K            nid[001000,001+ 
3359847.2004 alya_3D_l+    515688K            nid[001030-001+ 
3359847.2005 alya_3D_l+    499920K            nid[001000,001+ 
3359847.2006 alya_3D_l+    500216K            nid[001420-001+ 
3359847.2007 alya_3D_l+    500020K            nid[001122,001+ 
3359847.2008 alya_3D_l+    516304K            nid[001000,001+ 
3359847.2009 alya_3D_l+    500000K            nid[001030-001+ 
3359847.2010 alya_3D_l+    500164K            nid[001064,001+ 
3359847.2011 alya_3D_l+    516188K            nid[001000,001+ 
3359847.2012 alya_3D_l+    500528K            nid[001420-001+ 
3359847.2013 alya_3D_l+    516268K            nid[001253-001+ 
3359847.2014 alya_3D_l+    500044K            nid[001122,001+ 
3359847.2015 alya_3D_l+    500164K            nid[001149,001+ 
3359847.2016 alya_3D_l+    500320K            nid[001000,001+ 
3359847.2017 alya_3D_l+    515300K            nid[001030-001+ 
3359847.2018 alya_3D_l+    500092K            nid[001000,001+ 
3359847.2019 alya_3D_l+    500068K            nid[001253-001+ 
3359847.2020 alya_3D_l+    499892K            nid[001420-001+ 
3359847.2021 alya_3D_l+    519292K            nid[001030-001+ 
3359847.2022 alya_3D_l+    501044K            nid[001000,001+ 
3359847.2023 alya_3D_l+    499684K            nid[001000,001+ 
3359847.2024 alya_3D_l+    504756K            nid[001122,001+ 
3359847.2025 alya_3D_l+    500100K            nid[001253-001+ 
3359847.2026 alya_3D_l+    500120K            nid[001000,001+ 
3359847.2027 alya_3D_l+    499952K            nid[001149,001+ 
3359847.2028 alya_3D_l+    500148K            nid[001122,001+ 
3359847.2029 alya_3D_l+    515560K            nid[002630-002+ 
3359847.2030 alya_3D_l+    516380K            nid[001921-001+ 
3359847.2031 alya_3D_l+    500376K            nid[001253-001+ 
3359847.2032 alya_3D_l+    503100K            nid[001000,001+ 
3359847.2033 alya_3D_l+    500304K            nid[001420-001+ 
3359847.2034 alya_3D_l+    516508K            nid[001122,001+ 
3359847.2035 alya_3D_l+    500872K            nid[001122,001+ 
3359847.2036 alya_3D_l+    499936K            nid[001253-001+ 
3359847.2037 alya_3D_l+    500472K            nid[001921-001+ 
3359847.2038 alya_3D_l+    499884K            nid[001000,001+ 
3359847.2039 alya_3D_l+    500088K            nid[001122,001+ 
3359847.2040 alya_3D_l+    500200K            nid[001420-001+ 
3359847.2041 alya_3D_l+    500032K            nid[002657,002+ 
3359847.2042 alya_3D_l+    515704K            nid[001921-001+ 
3359847.2043 alya_3D_l+    516372K            nid[001253-001+ 
3359847.2044 alya_3D_l+    515960K            nid[001000,001+ 
3359847.2045 alya_3D_l+    500312K            nid[001122,001+ 
3359847.2046 alya_3D_l+    500120K            nid[001149,001+ 
3359847.2047 alya_3D_l+    516568K            nid[001122,001+ 
3359847.2048 alya_3D_l+    515364K            nid[001253-001+ 
3359847.2049 alya_3D_l+    500840K            nid[001253-001+ 
3359847.2050 alya_3D_l+    500512K            nid[001000,001+ 
3359847.2051 alya_3D_l+    500544K            nid[001000,001+ 
3359847.2052 alya_3D_l+    515684K            nid[001030-001+ 
3359847.2053 alya_3D_l+    500740K            nid[001000,001+ 
3359847.2054 alya_3D_l+    499964K            nid[001122,001+ 
3359847.2055 alya_3D_l+    500496K            nid[001149,001+ 
3359847.2056 alya_3D_l+    500480K            nid[001122,001+ 
3359847.2057 alya_3D_l+    516252K            nid[001921-001+ 
3359847.2058 alya_3D_l+    500096K            nid[001420-001+ 
3359847.2059 alya_3D_l+    516280K            nid[001000,001+ 
3359847.2060 alya_3D_l+    500168K            nid[001000,001+ 
3359847.2061 alya_3D_l+    515132K            nid[001149,001+ 
3359847.2062 alya_3D_l+    500228K            nid[001122,001+ 
3359847.2063 alya_3D_l+    514692K            nid[001921-001+ 
3359847.2064 alya_3D_l+    516020K            nid[001420-001+ 
3359847.2065 alya_3D_l+    515756K            nid[002657,002+ 
3359847.2066 alya_3D_l+    500028K            nid[001000,001+ 
3359847.2067 alya_3D_l+    499888K            nid[001000,001+ 
3359847.2068 alya_3D_l+    500028K            nid[001122,001+ 
3359847.2069 alya_3D_l+    488.50M            nid[001253-001+ 
3359847.2070 alya_3D_l+    500132K            nid[001420-001+ 
3359847.2071 alya_3D_l+    499704K            nid[001921-001+ 
3359847.2072 alya_3D_l+    514288K            nid[001000,001+ 
3359847.2073 alya_3D_l+    516756K            nid[001030-001+ 
3359847.2074 alya_3D_l+    500220K            nid[001064,001+ 
3359847.2075 alya_3D_l+    516572K            nid[001000,001+ 
3359847.2076 alya_3D_l+    500212K            nid[001253-001+ 
3359847.2077 alya_3D_l+    500132K            nid[001000,001+ 
3359847.2078 alya_3D_l+    500332K            nid[001030-001+ 
3359847.2079 alya_3D_l+    500344K            nid[001064,001+ 
3359847.2080 alya_3D_l+    516252K            nid[001106,001+ 
3359847.2081 alya_3D_l+    500300K            nid[001000,001+ 
3359847.2082 alya_3D_l+    516348K            nid[001122,001+ 
3359847.2083 alya_3D_l+    500440K            nid[001122,001+ 
3359847.2084 alya_3D_l+    500312K            nid[001000,001+ 
3359847.2085 alya_3D_l+    500096K            nid[001030-001+ 
3359847.2086 alya_3D_l+    516144K            nid[001064,001+ 
3359847.2087 alya_3D_l+    500116K            nid[001000,001+ 
3359847.2088 alya_3D_l+    500068K            nid[001000,001+ 
3359847.2089 alya_3D_l+    500028K            nid[001030-001+ 
3359847.2090 alya_3D_l+    500092K            nid[001064,001+ 
3359847.2091 alya_3D_l+    500088K            nid[001106,001+ 
3359847.2092 alya_3D_l+    499920K            nid[001253-001+ 
3359847.2093 alya_3D_l+    500100K            nid[001000,001+ 
3359847.2094 alya_3D_l+    500256K            nid[001122,001+ 
3359847.2095 alya_3D_l+    500260K            nid[001122,001+ 
3359847.2096 alya_3D_l+    500344K            nid[001921-001+ 
3359847.2097 alya_3D_l+    500376K            nid[001000,001+ 
3359847.2098 alya_3D_l+    500496K            nid[001271,001+ 
3359847.2099 alya_3D_l+    516088K            nid[001253-001+ 
3359847.2100 alya_3D_l+    499932K            nid[001122,001+ 
3359847.2101 alya_3D_l+    500472K            nid[001122,001+ 
3359847.2102 alya_3D_l+    500240K            nid[001921-001+ 
3359847.2103 alya_3D_l+    516520K            nid[001000,001+ 
3359847.2104 alya_3D_l+    516220K            nid[001253-001+ 
3359847.2105 alya_3D_l+    500212K            nid[001253-001+ 
3359847.2106 alya_3D_l+    500176K            nid[002657,002+ 
3359847.2107 alya_3D_l+    500028K            nid[001000,001+ 
3359847.2108 alya_3D_l+    500052K            nid[001122,001+ 
3359847.2109 alya_3D_l+    500144K            nid[001921-001+ 
3359847.2110 alya_3D_l+    500152K            nid[001253-001+ 
3359847.2111 alya_3D_l+    499956K            nid[001271,001+ 
3359847.2112 alya_3D_l+    500548K            nid[001253-001+ 
3359847.2113 alya_3D_l+    500092K            nid[001000,001+ 
3359847.2114 alya_3D_l+    516196K            nid[001149,001+ 
3359847.2115 alya_3D_l+    515972K            nid[001122,001+ 
3359847.2116 alya_3D_l+    516224K            nid[001420-001+ 
3359847.2117 alya_3D_l+    500072K            nid[002657,002+ 
3359847.2118 alya_3D_l+    500132K            nid[001253-001+ 
3359847.2119 alya_3D_l+    500480K            nid[001000,001+ 
3359847.2120 alya_3D_l+    500300K            nid[001122,001+ 
3359847.2121 alya_3D_l+    515752K            nid[001122,001+ 
3359847.2122 alya_3D_l+    500456K            nid[001253-001+ 
3359847.2123 alya_3D_l+    500448K            nid[001420-001+ 
3359847.2124 alya_3D_l+    516056K            nid[001000,001+ 
3359847.2125 alya_3D_l+    500120K            nid[001000,001+ 
3359847.2126 alya_3D_l+    500152K            nid[001122,001+ 
3359847.2127 alya_3D_l+    500396K            nid[001122,001+ 
3359847.2128 alya_3D_l+    515152K            nid[001253-001+ 
3359847.2129 alya_3D_l+    500136K            nid[001000,001+ 
3359847.2130 alya_3D_l+    516072K            nid[001000,001+ 
3359847.2131 alya_3D_l+    499900K            nid[002630-002+ 
3359847.2132 alya_3D_l+    500156K            nid[001921-001+ 
3359847.2133 alya_3D_l+    499864K            nid[001122,001+ 
3359847.2134 alya_3D_l+    504752K            nid[001253-001+ 
3359847.2135 alya_3D_l+    500072K            nid[001000,001+ 
3359847.2136 alya_3D_l+    499972K            nid[001000,001+ 
3359847.2137 alya_3D_l+    505800K            nid[002630-002+ 
3359847.2138 alya_3D_l+    500280K            nid[001921-001+ 
3359847.2139 alya_3D_l+    516292K            nid[001122,001+ 
3359847.2140 alya_3D_l+    500192K            nid[001253-001+ 
3359847.2141 alya_3D_l+    516464K            nid[001000,001+ 
3359847.2142 alya_3D_l+    500028K            nid[001030-001+ 
3359847.2143 alya_3D_l+    500084K            nid[001064,001+ 
3359847.2144 alya_3D_l+    504784K            nid[001000,001+ 
3359847.2145 alya_3D_l+    515888K            nid[001030-001+ 
3359847.2146 alya_3D_l+    500124K            nid[001106,001+ 
3359847.2147 alya_3D_l+    500260K            nid[001064,001+ 
3359847.2148 alya_3D_l+    499968K            nid[001000,001+ 
3359847.2149 alya_3D_l+    500108K            nid[001030-001+ 
3359847.2150 alya_3D_l+    520196K            nid[001106,001+ 
3359847.2151 alya_3D_l+    500056K            nid[001000,001+ 
3359847.2152 alya_3D_l+    500032K            nid[001030-001+ 
3359847.2153 alya_3D_l+    515748K            nid[001064,001+ 
3359847.2154 alya_3D_l+    500244K            nid[001000,001+ 
3359847.2155 alya_3D_l+    500028K            nid[001030-001+ 
3359847.2156 alya_3D_l+    499896K            nid[001064,001+ 
3359847.2157 alya_3D_l+    500172K            nid[001000,001+ 
3359847.2158 alya_3D_l+    504.50M            nid[001030-001+ 
3359847.2159 alya_3D_l+    516196K            nid[001000,001+ 
3359847.2160 alya_3D_l+    500176K            nid[001000,001+ 
3359847.2161 alya_3D_l+    500540K            nid[001000,001+ 
3359847.2162 alya_3D_l+    500576K            nid[001149,001+ 
3359847.2163 alya_3D_l+    500504K            nid[001194,001+ 
3359847.2164 alya_3D_l+    500588K            nid[001122,001+ 
3359847.2165 alya_3D_l+    500492K            nid[001253-001+ 
3359847.2166 alya_3D_l+    500196K            nid[001000,001+ 
3359847.2167 alya_3D_l+    500400K            nid[001312,001+ 
3359847.2168 alya_3D_l+    501804K            nid[001406-001+ 
3359847.2169 alya_3D_l+    499968K            nid[001122,001+ 
3359847.2170 alya_3D_l+    500176K            nid[001149,001+ 
3359847.2171 alya_3D_l+    499984K            nid[001122,001+ 
3359847.2172 alya_3D_l+    500076K            nid[001000,001+ 
3359847.2173 alya_3D_l+    500472K            nid[001000,001+ 
3359847.2174 alya_3D_l+    500148K            nid[001194,001+ 
3359847.2175 alya_3D_l+    502200K            nid[001122,001+ 
3359847.2176 alya_3D_l+    500176K            nid[001271,001+ 
3359847.2177 alya_3D_l+    501928K            nid[001253-001+ 
3359847.2178 alya_3D_l+    500564K            nid[001921-001+ 
3359847.2179 alya_3D_l+    500364K            nid[001000,001+ 
3359847.2180 alya_3D_l+    500288K            nid[001122,001+ 
3359847.2181 alya_3D_l+    500532K            nid[001122,001+ 
3359847.2182 alya_3D_l+    500188K            nid[001253-001+ 
3359847.2183 alya_3D_l+    499764K            nid[002657,002+ 
3359847.2184 alya_3D_l+    516132K            nid[001000,001+ 
3359847.2185 alya_3D_l+    500168K            nid[001000,001+ 
3359847.2186 alya_3D_l+    500012K            nid[001122,001+ 
3359847.2187 alya_3D_l+    500268K            nid[001122,001+ 
3359847.2188 alya_3D_l+    516836K            nid[001253-001+ 
3359847.2189 alya_3D_l+    499944K            nid[001030-001+ 
3359847.2190 alya_3D_l+    516780K            nid[001000,001+ 
3359847.2191 alya_3D_l+    500084K            nid[001921-001+ 
3359847.2192 alya_3D_l+    516412K            nid[001420-001+ 
3359847.2193 alya_3D_l+    516664K            nid[001122,001+ 
3359847.2194 alya_3D_l+    500296K            nid[001253-001+ 
3359847.2195 alya_3D_l+    499800K            nid[001000,001+ 
3359847.2196 alya_3D_l+    499992K            nid[001000,001+ 
3359847.2197 alya_3D_l+    500228K            nid[001122,001+ 
3359847.2198 alya_3D_l+    500116K            nid[001149,001+ 
3359847.2199 alya_3D_l+    500100K            nid[001122,001+ 
3359847.2200 alya_3D_l+    500260K            nid[001253-001+ 
3359847.2201 alya_3D_l+    500600K            nid[001921-001+ 
3359847.2202 alya_3D_l+    500128K            nid[001000,001+ 
3359847.2203 alya_3D_l+    500228K            nid[001271,001+ 
3359847.2204 alya_3D_l+    500180K            nid[001312,001+ 
3359847.2205 alya_3D_l+    500112K            nid[001122,001+ 
3359847.2206 alya_3D_l+    500636K            nid[001122,001+ 
3359847.2207 alya_3D_l+    500072K            nid[001921-001+ 
3359847.2208 alya_3D_l+    500120K            nid[001000,001+ 
3359847.2209 alya_3D_l+    500252K            nid[001149,001+ 
3359847.2210 alya_3D_l+    500140K            nid[001194,001+ 
3359847.2211 alya_3D_l+    500052K            nid[001122,001+ 
3359847.2212 alya_3D_l+    499808K            nid[001253-001+ 
3359847.2213 alya_3D_l+    500660K            nid[001253-001+ 
3359847.2214 alya_3D_l+    500512K            nid[001000,001+ 
3359847.2215 alya_3D_l+    518428K            nid[001921-001+ 
3359847.2216 alya_3D_l+    516152K            nid[001000,001+ 
3359847.2217 alya_3D_l+    500036K            nid[001030-001+ 
3359847.2218 alya_3D_l+    516184K            nid[001000,001+ 
3359847.2219 alya_3D_l+    499944K            nid[001253-001+ 
3359847.2220 alya_3D_l+    500024K            nid[001420-001+ 
3359847.2221 alya_3D_l+    500072K            nid[001921-001+ 
3359847.2222 alya_3D_l+    500468K            nid[001122,001+ 
3359847.2223 alya_3D_l+    500476K            nid[001149,001+ 
3359847.2224 alya_3D_l+    516036K            nid[001000,001+ 
3359847.2225 alya_3D_l+    500128K            nid[001030-001+ 
3359847.2226 alya_3D_l+    500064K            nid[001000,001+ 
3359847.2227 alya_3D_l+    500100K            nid[001420-001+ 
3359847.2228 alya_3D_l+    515436K            nid[001921-001+ 
3359847.2229 alya_3D_l+    500180K            nid[001253-001+ 
3359847.2230 alya_3D_l+    499988K            nid[001030-001+ 
3359847.2231 alya_3D_l+    500328K            nid[001000,001+ 
3359847.2232 alya_3D_l+    500400K            nid[001000,001+ 
3359847.2233 alya_3D_l+    500500K            nid[001122,001+ 
3359847.2234 alya_3D_l+    500220K            nid[001149,001+ 
3359847.2235 alya_3D_l+    500044K            nid[001194,001+ 
3359847.2236 alya_3D_l+    501332K            nid[001218,001+ 
3359847.2237 alya_3D_l+    501992K            nid[001122,001+ 
3359847.2238 alya_3D_l+    500192K            nid[001000,001+ 
3359847.2239 alya_3D_l+    500108K            nid[001000,001+ 
3359847.2240 alya_3D_l+    500308K            nid[001253-001+ 
3359847.2241 alya_3D_l+    517316K            nid[001921-001+ 
3359847.2242 alya_3D_l+    499680K            nid[001000,001+ 
3359847.2243 alya_3D_l+    500048K            nid[001000,001+ 
3359847.2244 alya_3D_l+    500520K            nid[001122,001+ 
3359847.2245 alya_3D_l+    500500K            nid[002657,002+ 
3359847.2246 alya_3D_l+    500244K            nid[001253-001+ 
3359847.2247 alya_3D_l+    500172K            nid[001921-001+ 
3359847.2248 alya_3D_l+    500396K            nid[001000,001+ 
3359847.2249 alya_3D_l+    500516K            nid[001000,001+ 
3359847.2250 alya_3D_l+    516424K            nid[001122,001+ 
3359847.2251 alya_3D_l+    500384K            nid[001122,001+ 
3359847.2252 alya_3D_l+    517300K            nid[001253-001+ 
3359847.2253 alya_3D_l+    500064K            nid[001921-001+ 
3359847.2254 alya_3D_l+    516292K            nid[001000,001+ 
3359847.2255 alya_3D_l+    516124K            nid[001420-001+ 
3359847.2256 alya_3D_l+    499868K            nid[002657,002+ 
3359847.2257 alya_3D_l+    515484K            nid[001271,001+ 
3359847.2258 alya_3D_l+    500276K            nid[001122,001+ 
3359847.2259 alya_3D_l+    516692K            nid[001122,001+ 
3359847.2260 alya_3D_l+    500236K            nid[001000,001+ 
3359847.2261 alya_3D_l+    500072K            nid[002657,002+ 
3359847.2262 alya_3D_l+    500180K            nid[001420-001+ 
3359847.2263 alya_3D_l+    500080K            nid[001122,001+ 
3359847.2264 alya_3D_l+    500188K            nid[001149,001+ 
3359847.2265 alya_3D_l+    500172K            nid[001122,001+ 
3359847.2266 alya_3D_l+    488.50M            nid[001000,001+ 
3359847.2267 alya_3D_l+    515144K            nid[001000,001+ 
3359847.2268 alya_3D_l+    500748K            nid[002657,002+ 
3359847.2269 alya_3D_l+    500100K            nid[001122,001+ 
3359847.2270 alya_3D_l+    516116K            nid[001149,001+ 
3359847.2271 alya_3D_l+    514312K            nid[001122,001+ 
3359847.2272 alya_3D_l+    500304K            nid[001420-001+ 
3359847.2273 alya_3D_l+    488.50M            nid[001000,001+ 
3359847.2274 alya_3D_l+    500184K            nid[002657,002+ 
3359847.2275 alya_3D_l+    500308K            nid[001253-001+ 
3359847.2276 alya_3D_l+    500108K            nid[001921-001+ 
3359847.2277 alya_3D_l+    500032K            nid[001122,001+ 
3359847.2278 alya_3D_l+    500624K            nid[001420-001+ 
3359847.2279 alya_3D_l+    500476K            nid[001000,001+ 
3359847.2280 alya_3D_l+    500356K            nid[001000,001+ 
3359847.2281 alya_3D_l+    500420K            nid[001253-001+ 
3359847.2282 alya_3D_l+    516304K            nid[001253-001+ 
3359847.2283 alya_3D_l+    500164K            nid[001122,001+ 
3359847.2284 alya_3D_l+    516140K            nid[001420-001+ 
3359847.2285 alya_3D_l+    500256K            nid[001000,001+ 
3359847.2286 alya_3D_l+    518668K            nid[001000,001+ 
3359847.2287 alya_3D_l+    500240K            nid[001122,001+ 
3359847.2288 alya_3D_l+    500020K            nid[001149,001+ 
3359847.2289 alya_3D_l+    516056K            nid[001122,001+ 
3359847.2290 alya_3D_l+    499936K            nid[001420-001+ 
3359847.2291 alya_3D_l+    500176K            nid[002657,002+ 
3359847.2292 alya_3D_l+    500080K            nid[001000,001+ 
3359847.2293 alya_3D_l+    500284K            nid[001921-001+ 
3359847.2294 alya_3D_l+    500004K            nid[001122,001+ 
3359847.2295 alya_3D_l+    500320K            nid[001149,001+ 
3359847.2296 alya_3D_l+    500228K            nid[001122,001+ 
3359847.2297 alya_3D_l+    500188K            nid[001000,001+ 
3359847.2298 alya_3D_l+    500232K            nid[001000,001+ 
3359847.2299 alya_3D_l+    517260K            nid[001921-001+ 
3359847.2300 alya_3D_l+    500056K            nid[001253-001+ 
3359847.2301 alya_3D_l+    500404K            nid[001431,001+ 
3359847.2302 alya_3D_l+    516080K            nid[001000,001+ 
3359847.2303 alya_3D_l+    500060K            nid[001000,001+ 
3359847.2304 alya_3D_l+    500332K            nid[001122,001+ 
3359847.2305 alya_3D_l+    500792K            nid[001122,001+ 
3359847.2306 alya_3D_l+    500160K            nid[001253-001+ 
3359847.2307 alya_3D_l+    500180K            nid[001253-001+ 
3359847.2308 alya_3D_l+    500288K            nid[001000,001+ 
3359847.2309 alya_3D_l+    500208K            nid[001000,001+ 
3359847.2310 alya_3D_l+    500016K            nid[001122,001+ 
3359847.2311 alya_3D_l+    500228K            nid[001122,001+ 
3359847.2312 alya_3D_l+    500320K            nid[001030-001+ 
3359847.2313 alya_3D_l+    516188K            nid[001000,001+ 
3359847.2314 alya_3D_l+    499976K            nid[001271,001+ 
3359847.2315 alya_3D_l+    516564K            nid[001253-001+ 
3359847.2316 alya_3D_l+    500284K            nid[001921-001+ 
3359847.2317 alya_3D_l+    500036K            nid[001122,001+ 
3359847.2318 alya_3D_l+    500356K            nid[001420-001+ 
3359847.2319 alya_3D_l+    500160K            nid[001000,001+ 
3359847.2320 alya_3D_l+    516628K            nid[001030-001+ 
3359847.2321 alya_3D_l+    502204K            nid[001000,001+ 
3359847.2322 alya_3D_l+    499980K            nid[001122,001+ 
3359847.2323 alya_3D_l+    516440K            nid[001122,001+ 
3359847.2324 alya_3D_l+    501728K            nid[001921-001+ 
3359847.2325 alya_3D_l+    516200K            nid[001420-001+ 
3359847.2326 alya_3D_l+    500276K            nid[001000,001+ 
3359847.2327 alya_3D_l+    500412K            nid[001000,001+ 
3359847.2328 alya_3D_l+    500508K            nid[001122,001+ 
3359847.2329 alya_3D_l+    500328K            nid[001253-001+ 
3359847.2330 alya_3D_l+    500036K            nid[002657,002+ 
3359847.2331 alya_3D_l+    500148K            nid[001420-001+ 
3359847.2332 alya_3D_l+    501692K            nid[001000,001+ 
3359847.2333 alya_3D_l+    501020K            nid[001000,001+ 
3359847.2334 alya_3D_l+    501572K            nid[001122,001+ 
3359847.2335 alya_3D_l+    504568K            nid[001253-001+ 
3359847.2336 alya_3D_l+    500068K            nid[002657,002+ 
3359847.2337 alya_3D_l+    500244K            nid[001420-001+ 
3359847.2338 alya_3D_l+    499752K            nid[001000,001+ 
3359847.2339 alya_3D_l+    500236K            nid[001149,001+ 
3359847.2340 alya_3D_l+    515328K            nid[001122,001+ 
3359847.2341 alya_3D_l+    500052K            nid[001253-001+ 
3359847.2342 alya_3D_l+    500296K            nid[001431,001+ 
3359847.2343 alya_3D_l+    499988K            nid[001420-001+ 
3359847.2344 alya_3D_l+    500364K            nid[001000,001+ 
3359847.2345 alya_3D_l+    500332K            nid[001253-001+ 
3359847.2346 alya_3D_l+    515752K            nid[001253-001+ 
3359847.2347 alya_3D_l+    500300K            nid[001122,001+ 
3359847.2348 alya_3D_l+    504224K            nid[001420-001+ 
3359847.2349 alya_3D_l+    500048K            nid[001921-001+ 
3359847.2350 alya_3D_l+    500220K            nid[001000,001+ 
3359847.2351 alya_3D_l+    500364K            nid[001253-001+ 
3359847.2352 alya_3D_l+    501716K            nid[001253-001+ 
3359847.2353 alya_3D_l+    516272K            nid[001122,001+ 
3359847.2354 alya_3D_l+    516168K            nid[001122,001+ 
3359847.2355 alya_3D_l+    500200K            nid[001921-001+ 
3359847.2356 alya_3D_l+    500120K            nid[001000,001+ 
3359847.2357 alya_3D_l+    500092K            nid[002657,002+ 
3359847.2358 alya_3D_l+    500180K            nid[001253-001+ 
3359847.2359 alya_3D_l+    500336K            nid[001122,001+ 
3359847.2360 alya_3D_l+    500896K            nid[001122,001+ 
3359847.2361 alya_3D_l+    500792K            nid[001921-001+ 
3359847.2362 alya_3D_l+    500316K            nid[001000,001+ 
3359847.2363 alya_3D_l+    500272K            nid[001253-001+ 
3359847.2364 alya_3D_l+    515232K            nid[002657,002+ 
3359847.2365 alya_3D_l+    500312K            nid[001420-001+ 
3359847.2366 alya_3D_l+    499912K            nid[001122,001+ 
3359847.2367 alya_3D_l+    500264K            nid[001921-001+ 
3359847.2368 alya_3D_l+    500140K            nid[001000,001+ 
3359847.2369 alya_3D_l+    500372K            nid[001420-001+ 
3359847.2370 alya_3D_l+    500116K            nid[001253-001+ 
3359847.2371 alya_3D_l+    500204K            nid[001253-001+ 
3359847.2372 alya_3D_l+    500148K            nid[001122,001+ 
3359847.2373 alya_3D_l+    500400K            nid[001921-001+ 
3359847.2374 alya_3D_l+    500020K            nid[001000,001+ 
3359847.2375 alya_3D_l+    500816K            nid[001122,001+ 
3359847.2376 alya_3D_l+    500232K            nid[001253-001+ 
3359847.2377 alya_3D_l+    516484K            nid[001420-001+ 
3359847.2378 alya_3D_l+    500240K            nid[002630-002+ 
3359847.2379 alya_3D_l+    500252K            nid[001921-001+ 
3359847.2380 alya_3D_l+    515776K            nid[001000,001+ 
3359847.2381 alya_3D_l+    500280K            nid[001122,001+ 
3359847.2382 alya_3D_l+    500268K            nid[001253-001+ 
3359847.2383 alya_3D_l+    500236K            nid[001000,001+ 
3359847.2384 alya_3D_l+    500500K            nid[001030-001+ 
3359847.2385 alya_3D_l+    500112K            nid[001000,001+ 
3359847.2386 alya_3D_l+    500172K            nid[001921-001+ 
3359847.2387 alya_3D_l+    499956K            nid[001122,001+ 
3359847.2388 alya_3D_l+    500104K            nid[001253-001+ 
3359847.2389 alya_3D_l+    516340K            nid[001420-001+ 
3359847.2390 alya_3D_l+    516540K            nid[001420-001+ 
